timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1587669143239,29550,GET RSS,200,OK,GET RSS 1-41,text,true,,170129,178,53,53,https://rss-app.azurewebsites.net/rss,28683,0,339
1587669142641,30241,GET RSS,200,OK,GET RSS 1-40,text,true,,170129,178,52,52,https://rss-app.azurewebsites.net/rss,29272,0,224
1587669143844,29447,GET RSS,200,OK,GET RSS 1-42,text,true,,170129,178,52,52,https://rss-app.azurewebsites.net/rss,28080,0,220
1587669144439,29550,GET RSS,200,OK,GET RSS 1-43,text,true,,170129,178,52,52,https://rss-app.azurewebsites.net/rss,28727,0,191
1587669140241,34017,GET RSS,200,OK,GET RSS 1-36,text,true,,170129,178,51,51,https://rss-app.azurewebsites.net/rss,29366,0,173
1587669145040,32379,GET RSS,200,OK,GET RSS 1-44,text,true,,170129,178,55,55,https://rss-app.azurewebsites.net/rss,31516,0,224
1587669146239,32191,GET RSS,200,OK,GET RSS 1-46,text,true,,170129,178,56,56,https://rss-app.azurewebsites.net/rss,31856,0,318
1587669145639,33329,GET RSS,200,OK,GET RSS 1-45,text,true,,170129,178,56,56,https://rss-app.azurewebsites.net/rss,31969,0,594
1587669146851,32820,GET RSS,200,OK,GET RSS 1-47,text,true,,170129,178,56,56,https://rss-app.azurewebsites.net/rss,31464,0,206
1587669147440,32356,GET RSS,200,OK,GET RSS 1-48,text,true,,170129,178,55,55,https://rss-app.azurewebsites.net/rss,31631,0,176
1587669148643,31478,GET RSS,200,OK,GET RSS 1-50,text,true,,170129,178,55,55,https://rss-app.azurewebsites.net/rss,31077,0,1056
1587669149843,30341,GET RSS,200,OK,GET RSS 1-52,text,true,,170129,178,54,54,https://rss-app.azurewebsites.net/rss,29937,0,368
1587669148041,32549,GET RSS,200,OK,GET RSS 1-49,text,true,,170129,178,54,54,https://rss-app.azurewebsites.net/rss,32192,0,1525
1587669149241,31449,GET RSS,200,OK,GET RSS 1-51,text,true,,170129,178,53,53,https://rss-app.azurewebsites.net/rss,30136,0,579
1587669151641,33759,GET RSS,200,OK,GET RSS 1-55,text,true,,170129,178,60,60,https://rss-app.azurewebsites.net/rss,33304,0,179
1587669152869,33203,GET RSS,200,OK,GET RSS 1-57,text,true,,170129,178,60,60,https://rss-app.azurewebsites.net/rss,32909,0,281
1587669151041,35036,GET RSS,200,OK,GET RSS 1-54,text,true,,170129,178,59,59,https://rss-app.azurewebsites.net/rss,33815,0,224
1587669150441,36130,GET RSS,200,OK,GET RSS 1-53,text,true,,170129,178,59,59,https://rss-app.azurewebsites.net/rss,32173,0,217
1587669152241,34656,GET RSS,200,OK,GET RSS 1-56,text,true,,170129,178,58,58,https://rss-app.azurewebsites.net/rss,34379,0,243
1587669153446,34035,GET RSS,200,OK,GET RSS 1-58,text,true,,170129,178,58,58,https://rss-app.azurewebsites.net/rss,33361,0,227
1587669154041,33739,GET RSS,200,OK,GET RSS 1-59,text,true,,170129,178,58,58,https://rss-app.azurewebsites.net/rss,33477,0,217
1587669155241,32815,GET RSS,200,OK,GET RSS 1-61,text,true,,170129,178,57,57,https://rss-app.azurewebsites.net/rss,32546,0,233
1587669154642,33918,GET RSS,200,OK,GET RSS 1-60,text,true,,170129,178,57,57,https://rss-app.azurewebsites.net/rss,33659,0,145
1587669155841,35335,GET RSS,200,OK,GET RSS 1-62,text,true,,173127,178,60,60,https://rss-app.azurewebsites.net/rss,34776,0,223
1587669156442,35894,GET RSS,200,OK,GET RSS 1-63,text,true,,169096,178,61,61,https://rss-app.azurewebsites.net/rss,35588,0,190
1587669157642,36816,GET RSS,200,OK,GET RSS 1-65,text,true,,169096,178,64,64,https://rss-app.azurewebsites.net/rss,35879,0,200
1587669157043,37765,GET RSS,200,OK,GET RSS 1-64,text,true,,169096,178,63,63,https://rss-app.azurewebsites.net/rss,36515,0,233
1587669159442,36063,GET RSS,200,OK,GET RSS 1-68,text,true,,169096,178,64,64,https://rss-app.azurewebsites.net/rss,35719,0,1113
1587669160642,35078,GET RSS,200,OK,GET RSS 1-70,text,true,,169096,178,63,63,https://rss-app.azurewebsites.net/rss,34716,0,232
1587669161241,34850,GET RSS,200,OK,GET RSS 1-71,text,true,,169096,178,63,63,https://rss-app.azurewebsites.net/rss,34556,0,322
1587669161842,36771,GET RSS,200,OK,GET RSS 1-72,text,true,,169096,178,66,66,https://rss-app.azurewebsites.net/rss,36527,0,209
1587669160042,39867,GET RSS,200,OK,GET RSS 1-69,text,true,,169096,178,67,67,https://rss-app.azurewebsites.net/rss,39328,0,2473
1587669162442,38796,GET RSS,200,OK,GET RSS 1-73,text,true,,169096,178,68,68,https://rss-app.azurewebsites.net/rss,38222,0,269
1587669163642,38343,GET RSS,200,OK,GET RSS 1-75,text,true,,169096,178,68,68,https://rss-app.azurewebsites.net/rss,38088,0,377
1587669164242,38693,GET RSS,200,OK,GET RSS 1-76,text,true,,169096,178,69,69,https://rss-app.azurewebsites.net/rss,38479,0,301
1587669163043,40996,GET RSS,200,OK,GET RSS 1-74,text,true,,169096,178,70,70,https://rss-app.azurewebsites.net/rss,40744,0,837
1587669164844,41046,GET RSS,200,OK,GET RSS 1-77,text,true,,169096,178,72,72,https://rss-app.azurewebsites.net/rss,40304,0,222
1587669166648,39509,GET RSS,200,OK,GET RSS 1-80,text,true,,169096,178,71,71,https://rss-app.azurewebsites.net/rss,38938,0,165
1587669166043,40420,GET RSS,200,OK,GET RSS 1-79,text,true,,169096,178,71,71,https://rss-app.azurewebsites.net/rss,39916,0,173
1587669167245,39391,GET RSS,200,OK,GET RSS 1-81,text,true,,169096,178,70,70,https://rss-app.azurewebsites.net/rss,39109,0,176
1587669165445,41863,GET RSS,200,OK,GET RSS 1-78,text,true,,169096,178,70,70,https://rss-app.azurewebsites.net/rss,41050,0,236
1587669169049,38351,GET RSS,200,OK,GET RSS 1-84,text,true,,169096,178,69,69,https://rss-app.azurewebsites.net/rss,38111,0,632
1587669167845,39730,GET RSS,200,OK,GET RSS 1-82,text,true,,169096,178,69,69,https://rss-app.azurewebsites.net/rss,39533,0,186
1587669168448,42506,GET RSS,200,OK,GET RSS 1-83,text,true,,169096,178,73,73,https://rss-app.azurewebsites.net/rss,41737,0,1284
1587669169646,41922,GET RSS,200,OK,GET RSS 1-85,text,true,,169096,178,73,73,https://rss-app.azurewebsites.net/rss,41690,0,436
1587669170246,43037,GET RSS,200,OK,GET RSS 1-86,text,true,,169096,178,75,75,https://rss-app.azurewebsites.net/rss,42529,0,310
1587669171446,42867,GET RSS,200,OK,GET RSS 1-88,text,true,,169096,178,76,76,https://rss-app.azurewebsites.net/rss,42658,0,866
1587669172067,42864,GET RSS,200,OK,GET RSS 1-89,text,true,,169096,178,76,76,https://rss-app.azurewebsites.net/rss,42651,0,1034
1587669173246,41731,GET RSS,200,OK,GET RSS 1-91,text,true,,169096,178,75,75,https://rss-app.azurewebsites.net/rss,41472,0,705
1587669173845,41539,GET RSS,200,OK,GET RSS 1-92,text,true,,169096,178,75,75,https://rss-app.azurewebsites.net/rss,41295,0,566
1587669174447,41119,GET RSS,200,OK,GET RSS 1-93,text,true,,169096,178,74,74,https://rss-app.azurewebsites.net/rss,40910,0,365
