timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1587667909971,7112,GET RSS,200,OK,GET RSS 1-46,text,true,,167816,178,25,25,https://rss-app.azurewebsites.net/rss,3178,0,375
1587667911772,5380,GET RSS,200,OK,GET RSS 1-52,text,true,,167816,178,24,24,https://rss-app.azurewebsites.net/rss,4552,0,3319
1587667904272,12981,GET RSS,200,OK,GET RSS 1-27,text,true,,167816,178,24,24,https://rss-app.azurewebsites.net/rss,6968,0,5306
1587667915068,2304,GET RSS,200,OK,GET RSS 1-63,text,true,,167816,178,23,23,https://rss-app.azurewebsites.net/rss,1888,0,532
1587667908473,10217,GET RSS,200,OK,GET RSS 1-41,text,true,,167816,178,27,27,https://rss-app.azurewebsites.net/rss,4345,0,1233
1587667915372,3661,GET RSS,200,OK,GET RSS 1-64,text,true,,167816,178,27,27,https://rss-app.azurewebsites.net/rss,2527,0,961
1587667914172,4952,GET RSS,200,OK,GET RSS 1-60,text,true,,167816,178,26,26,https://rss-app.azurewebsites.net/rss,3334,0,919
1587667909672,9509,GET RSS,200,OK,GET RSS 1-45,text,true,,167816,178,25,25,https://rss-app.azurewebsites.net/rss,4739,0,362
1587667914472,5318,GET RSS,200,OK,GET RSS 1-61,text,true,,167816,178,26,26,https://rss-app.azurewebsites.net/rss,2437,0,811
1587667910574,9339,GET RSS,200,OK,GET RSS 1-48,text,true,,167816,178,26,26,https://rss-app.azurewebsites.net/rss,2578,0,291
1587667911472,8937,GET RSS,200,OK,GET RSS 1-51,text,true,,167816,178,26,26,https://rss-app.azurewebsites.net/rss,5779,0,1675
1587667909072,11522,GET RSS,200,OK,GET RSS 1-43,text,true,,167816,178,26,26,https://rss-app.azurewebsites.net/rss,3889,0,772
1587667915671,5064,GET RSS,200,OK,GET RSS 1-65,text,true,,167816,178,25,25,https://rss-app.azurewebsites.net/rss,4126,0,1218
1587667916268,4874,GET RSS,200,OK,GET RSS 1-67,text,true,,167816,178,26,26,https://rss-app.azurewebsites.net/rss,4163,0,815
1587667912971,8217,GET RSS,200,OK,GET RSS 1-56,text,true,,167816,178,25,25,https://rss-app.azurewebsites.net/rss,5444,0,3193
1587667913272,7980,GET RSS,200,OK,GET RSS 1-57,text,true,,167816,178,24,24,https://rss-app.azurewebsites.net/rss,7132,0,3658
1587667917169,4258,GET RSS,200,OK,GET RSS 1-70,text,true,,167816,178,24,24,https://rss-app.azurewebsites.net/rss,3614,0,637
1587667911171,10348,GET RSS,200,OK,GET RSS 1-50,text,true,,167816,178,23,23,https://rss-app.azurewebsites.net/rss,6004,0,165
1587667914767,6887,GET RSS,200,OK,GET RSS 1-62,text,true,,167816,178,22,22,https://rss-app.azurewebsites.net/rss,6065,0,2664
1587667917471,5355,GET RSS,200,OK,GET RSS 1-71,text,true,,167816,178,25,25,https://rss-app.azurewebsites.net/rss,3966,0,1048
1587667910874,11996,GET RSS,200,OK,GET RSS 1-49,text,true,,167816,178,24,24,https://rss-app.azurewebsites.net/rss,6301,0,183
1587667917769,5749,GET RSS,200,OK,GET RSS 1-72,text,true,,167816,178,26,26,https://rss-app.azurewebsites.net/rss,5171,0,1198
1587667919271,5335,GET RSS,200,OK,GET RSS 1-77,text,true,,167816,178,28,28,https://rss-app.azurewebsites.net/rss,4130,0,1112
1587667919872,4907,GET RSS,200,OK,GET RSS 1-79,text,true,,167816,178,28,28,https://rss-app.azurewebsites.net/rss,3801,0,960
1587667920470,4542,GET RSS,200,OK,GET RSS 1-81,text,true,,167816,178,28,28,https://rss-app.azurewebsites.net/rss,3529,0,714
1587667919570,5531,GET RSS,200,OK,GET RSS 1-78,text,true,,167816,178,27,27,https://rss-app.azurewebsites.net/rss,4132,0,1024
1587667920770,4486,GET RSS,200,OK,GET RSS 1-82,text,true,,167816,178,26,26,https://rss-app.azurewebsites.net/rss,3655,0,619
1587667915968,9389,GET RSS,200,OK,GET RSS 1-66,text,true,,167816,178,26,26,https://rss-app.azurewebsites.net/rss,4112,0,1010
1587667922872,3575,GET RSS,200,OK,GET RSS 1-89,text,true,,170840,178,28,28,https://rss-app.azurewebsites.net/rss,2751,0,646
1587667921972,6482,GET RSS,200,OK,GET RSS 1-86,text,true,,173045,178,34,34,https://rss-app.azurewebsites.net/rss,3958,0,1299
1587667923171,5411,GET RSS,200,OK,GET RSS 1-90,text,true,,170840,178,34,34,https://rss-app.azurewebsites.net/rss,2589,0,1292
1587667913570,15047,GET RSS,200,OK,GET RSS 1-58,text,true,,167816,178,33,33,https://rss-app.azurewebsites.net/rss,6522,0,3373
1587667923471,5324,GET RSS,200,OK,GET RSS 1-91,text,true,,173045,178,32,32,https://rss-app.azurewebsites.net/rss,2908,0,1213
1587667913868,14927,GET RSS,200,OK,GET RSS 1-59,text,true,,167816,178,32,32,https://rss-app.azurewebsites.net/rss,7732,0,3181
1587667925570,3293,GET RSS,200,OK,GET RSS 1-98,text,true,,169061,178,30,30,https://rss-app.azurewebsites.net/rss,2893,0,884
1587667916568,12615,GET RSS,200,OK,GET RSS 1-68,text,true,,167816,178,31,31,https://rss-app.azurewebsites.net/rss,6998,0,665
1587667918672,10642,GET RSS,200,OK,GET RSS 1-75,text,true,,167816,178,30,30,https://rss-app.azurewebsites.net/rss,6744,0,886
1587667918371,11070,GET RSS,200,OK,GET RSS 1-74,text,true,,167816,178,29,29,https://rss-app.azurewebsites.net/rss,6557,0,843
1587667907873,21705,GET RSS,200,OK,GET RSS 1-39,text,true,,167816,178,29,29,https://rss-app.azurewebsites.net/rss,15736,0,11843
1587667921071,8658,GET RSS,200,OK,GET RSS 1-83,text,true,,167816,178,28,28,https://rss-app.azurewebsites.net/rss,4817,0,618
1587667921670,8082,GET RSS,200,OK,GET RSS 1-85,text,true,,169061,178,27,27,https://rss-app.azurewebsites.net/rss,6803,0,1425
1587667921370,8716,GET RSS,200,OK,GET RSS 1-84,text,true,,170840,178,28,28,https://rss-app.azurewebsites.net/rss,4634,0,1500
1587667926469,3697,GET RSS,200,OK,GET RSS 1-101,text,true,,169061,178,27,27,https://rss-app.azurewebsites.net/rss,3308,0,2251
1587667916869,13641,GET RSS,200,OK,GET RSS 1-69,text,true,,167816,178,27,27,https://rss-app.azurewebsites.net/rss,4712,0,381
1587667924671,5888,GET RSS,200,OK,GET RSS 1-95,text,true,,169061,178,26,26,https://rss-app.azurewebsites.net/rss,4851,0,874
1587667925271,5455,GET RSS,200,OK,GET RSS 1-97,text,true,,169061,178,26,26,https://rss-app.azurewebsites.net/rss,4299,0,684
1587667922567,8467,GET RSS,200,OK,GET RSS 1-88,text,true,,169061,178,26,26,https://rss-app.azurewebsites.net/rss,6618,0,3045
1587667925872,5221,GET RSS,200,OK,GET RSS 1-99,text,true,,169061,178,25,25,https://rss-app.azurewebsites.net/rss,3736,0,2581
1587667922272,10415,GET RSS,200,OK,GET RSS 1-87,text,true,,169061,178,29,29,https://rss-app.azurewebsites.net/rss,8003,0,3111
1587667924972,7715,GET RSS,200,OK,GET RSS 1-96,text,true,,169061,178,29,29,https://rss-app.azurewebsites.net/rss,4757,0,763
1587667926170,6795,GET RSS,200,OK,GET RSS 1-100,text,true,,169061,178,28,28,https://rss-app.azurewebsites.net/rss,3444,0,2399
1587667923771,9411,GET RSS,200,OK,GET RSS 1-92,text,true,,169061,178,28,28,https://rss-app.azurewebsites.net/rss,6901,0,1218
